"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"558",107,7,3,0,FALSE,"2020-09-14T19:15:00Z",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",55,0,7235,0,0,"Mateo Kovacic"
"559",107,11,11,2,TRUE,"2020-09-20T15:30:00Z",0,2,2,78,0,0,0,2,0,0,0,0,0,0,0,12,"2.8","7.8","0.0","1.1",55,1793,15328,3838,2045,"Mateo Kovacic"
"560",107,27,18,1,FALSE,"2020-09-26T16:30:00Z",3,3,3,45,0,0,0,3,0,0,0,0,0,0,0,9,"5.6","2.8","1.0","0.9",55,3183,24340,7357,4174,"Mateo Kovacic"
"561",107,31,6,1,TRUE,"2020-10-03T11:30:00Z",4,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,"0.0","0.3","0.0","0.0",55,-278,26520,4658,4936,"Mateo Kovacic"
"562",107,39,16,0,TRUE,"2020-10-17T14:00:00Z",3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",55,-3630,24648,2319,5949,"Mateo Kovacic"
"563",109,7,3,0,FALSE,"2020-09-14T19:15:00Z",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,0,133067,0,0,"Antonio Rüdiger"
"564",109,11,11,0,TRUE,"2020-09-20T15:30:00Z",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-34536,115488,4611,39147,"Antonio Rüdiger"
"565",109,27,18,0,FALSE,"2020-09-26T16:30:00Z",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",48,-30077,90763,4791,34868,"Antonio Rüdiger"
"566",109,31,6,0,TRUE,"2020-10-03T11:30:00Z",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",47,-19227,74266,2018,21245,"Antonio Rüdiger"
"567",109,39,16,0,TRUE,"2020-10-17T14:00:00Z",3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",47,-10912,65611,2357,13269,"Antonio Rüdiger"
"568",110,7,3,8,FALSE,"2020-09-14T19:15:00Z",1,3,1,90,1,0,0,1,0,0,0,0,0,0,0,25,"51.8","0.2","17.0","6.9",50,0,53224,0,0,"Kurt Zouma"
"569",110,11,11,1,TRUE,"2020-09-20T15:30:00Z",0,2,2,90,0,0,0,2,0,0,0,0,0,0,0,16,"18.4","0.2","17.0","3.6",50,7097,89752,15614,8517,"Kurt Zouma"
"570",110,27,18,0,FALSE,"2020-09-26T16:30:00Z",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,33603,148022,52299,18696,"Kurt Zouma"
"571",110,31,6,13,TRUE,"2020-10-03T11:30:00Z",4,0,4,90,1,0,1,0,0,0,0,0,0,0,1,36,"46.8","2.2","21.0","7.0",50,-23094,124337,6291,29385,"Kurt Zouma"
"572",110,39,16,1,TRUE,"2020-10-17T14:00:00Z",3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,15,"28.0","0.7","19.0","4.8",50,139084,312917,165810,26726,"Kurt Zouma"
"573",111,7,3,0,FALSE,"2020-09-14T19:15:00Z",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,0,11017,0,0,"Emerson Palmieri dos Santos"
"574",111,11,11,0,TRUE,"2020-09-20T15:30:00Z",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,-1812,12610,430,2242,"Emerson Palmieri dos Santos"
"575",111,27,18,0,FALSE,"2020-09-26T16:30:00Z",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-1592,12263,608,2200,"Emerson Palmieri dos Santos"
"576",111,31,6,0,TRUE,"2020-10-03T11:30:00Z",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-1168,11795,457,1625,"Emerson Palmieri dos Santos"
